AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-70	20	1	-50	30	20.0	10.0	AA_valence = -70, AA_arousal = 20, choice = 1, AC_valence = -50, AC_arousal = 30
-50	20	1	-30	40	20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
20	10	1	5	15	-15.0	5.0	AA_valence = 20, AA_arousal = 10, choice = 1, AC_valence = 5, AC_arousal = 15
-20	10	1	-10	5	10.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -10, AC_arousal = 5
-40	20	1	-20	40	20.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 40
-40	20	1	-30	40	10.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 40
-50	30	1	-60	40	-10.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 40
-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-60	20	1	-20	40	40.0	20.0	AA_valence = -60, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 40
-60	20	0	-20	10	40.0	-10.0	AA_valence = -60, AA_arousal = 20, choice = 0, AC_valence = -20, AC_arousal = 10
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-20	10	0	-5	5	15.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -5, AC_arousal = 5
-60	30	1	-70	40	-10.0	10.0	AA_valence = -60, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-50	20	1	-70	30	-20.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 30
-40	20	1	-30	10	10.0	-10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 10
-20	10	0	-15	5	5.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -15, AC_arousal = 5
-50	30	1	-70	40	-20.0	10.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 40
-20	10	0	5	15	25.0	5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = 5, AC_arousal = 15
-20	10	0	-10	5	10.0	-5.0	AA_valence = -20, AA_arousal = 10, choice = 0, AC_valence = -10, AC_arousal = 5
-30	20	1	5	10	35.0	-10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = 5, AC_arousal = 10
-40	20	1	-30	30	10.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
-40	20	1	-60	30	-20.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -60, AC_arousal = 30
-40	20	1	-30	30	10.0	10.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -30, AC_arousal = 30
-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-20	15	1	-10	25	10.0	10.0	AA_valence = -20, AA_arousal = 15, choice = 1, AC_valence = -10, AC_arousal = 25
-30	20	1	-10	30	20.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 30
-30	20	0	-10	30	20.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 0, AC_valence = -10, AC_arousal = 30
-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
-50	30	1	-80	70	-30.0	40.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -80, AC_arousal = 70
-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-50	20	0	-40	30	10.0	10.0	AA_valence = -50, AA_arousal = 20, choice = 0, AC_valence = -40, AC_arousal = 30
-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
-50	30	1	-60	50	-10.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -60, AC_arousal = 50
-40	20	1	-70	40	-30.0	20.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-20	10	1	-15	25	5.0	15.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -15, AC_arousal = 25
-50	20	1	-70	40	-20.0	20.0	AA_valence = -50, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 40
-40	30	1	-70	50	-30.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-25	20	1	-10	30	15.0	10.0	AA_valence = -25, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 30
-20	10	1	-10	30	10.0	20.0	AA_valence = -20, AA_arousal = 10, choice = 1, AC_valence = -10, AC_arousal = 30
-50	30	1	-70	60	-20.0	30.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 60
-50	40	1	-70	60	-20.0	20.0	AA_valence = -50, AA_arousal = 40, choice = 1, AC_valence = -70, AC_arousal = 60
-60	30	0	-20	10	40.0	-20.0	AA_valence = -60, AA_arousal = 30, choice = 0, AC_valence = -20, AC_arousal = 10
-40	30	1	-20	50	20.0	20.0	AA_valence = -40, AA_arousal = 30, choice = 1, AC_valence = -20, AC_arousal = 50
-40	20	1	-70	60	-30.0	40.0	AA_valence = -40, AA_arousal = 20, choice = 1, AC_valence = -70, AC_arousal = 60
-70	20	1	-85	80	-15.0	60.0	AA_valence = -70, AA_arousal = 20, choice = 1, AC_valence = -85, AC_arousal = 80
-20	30	0	-10	20	10.0	-10.0	AA_valence = -20, AA_arousal = 30, choice = 0, AC_valence = -10, AC_arousal = 20
-50	30	1	-70	50	-20.0	20.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 50
-30	20	1	-10	40	20.0	20.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -10, AC_arousal = 40
-30	10	1	-20	30	10.0	20.0	AA_valence = -30, AA_arousal = 10, choice = 1, AC_valence = -20, AC_arousal = 30
-40	25	1	-30	40	10.0	15.0	AA_valence = -40, AA_arousal = 25, choice = 1, AC_valence = -30, AC_arousal = 40
-30	20	1	-20	30	10.0	10.0	AA_valence = -30, AA_arousal = 20, choice = 1, AC_valence = -20, AC_arousal = 30
-50	30	1	-70	60	-20.0	30.0	AA_valence = -50, AA_arousal = 30, choice = 1, AC_valence = -70, AC_arousal = 60
-60	40	1	-80	70	-20.0	30.0	AA_valence = -60, AA_arousal = 40, choice = 1, AC_valence = -80, AC_arousal = 70
-70	40	0	-10	20	60.0	-20.0	AA_valence = -70, AA_arousal = 40, choice = 0, AC_valence = -10, AC_arousal = 20
