word,category,confidence,rationale
emotional,emotion,1,The word appears exactly in the seed list for emotion words.
player,other,1,"The word 'player' is not conceptually linked to emotion, fairness, or cost according to our seed lists."
sensitivity,emotion,0.7,"Although not explicitly listed, 'sensitivity' connotes an emotional responsiveness and is related in meaning to affective processes."
justice,fairness,1,The word is directly included in the fairness seed list.
high,other,1,"As a basic adjective referring to magnitude or level, it does not imply an emotion, fairness, or cost concept."
choice,other,1,"While 'choice' is important in decision-making, it does not fall under the semantic categories defined by the seed lists."
prosocial,other,0.7,"Although 'prosocial' relates to behaviors that benefit others, it is not explicitly associated with the fairness seed words, and it doesn__ match the emotion or cost categories closely."
fairness,fairness,1,The word is exactly one of the seed words for fairness.
arousal,emotion,0.8,"Arousal is a psychological state intimately linked to emotional activation, even though it is not explicitly in the emotion list."
low,other,1,A general descriptor that does not align specifically with any of the three target semantic categories.
cost,cost,1,The word is directly mentioned in the cost seed list.
punishing,other,0.75,"Although 'punishing' relates to punishment _ which can tie to the notion of justice _ it is not contained in the fairness seeds, and it does not directly indicate a cost or emotion per the lists provided."
seeing,other,1,"The word is used in a perceptual sense with no clear connection to emotion, fairness, or cost."
valence,emotion,0.85,"In psychology, 'valence' refers to the intrinsic attractiveness or averseness of an event, object, or situation, linking it closely to affective (emotional) evaluation."
choices,other,1,The plural form of 'choice' remains non-specific relative to the provided seed lists.
reactivity,emotion,0.8,"The term connotes responsiveness to stimuli, similar to 'react' (which is in the emotion seed list), and is thus interpreted as an emotional process."
intensity,emotion,0.7,"Although not explicitly listed, 'intensity' is often used to describe the strength of an emotional experience."
unfairness,fairness,1,The word clearly conveys a lack of fairness and fits within the fairness category.
punish,other,0.7,"Like 'punishing', 'punish' is related to punitive action. While it has a moral connotation possibly linked with fairness, it is not in the fairness seed list and thus is classified as 'other'."
feels,emotion,0.8,'Feels' directly relates to experiencing emotion and thus fits the emotion category.
depression,emotion,1,Depression is a clearly defined emotional state and is naturally grouped within the emotion category.
score,other,1,The term 'score' does not inherently relate to any of our predefined semantic categories.
punishment,other,0.7,"Even though it involves moral judgment and can be connected with justice issues, 'punishment' is not explicitly in the fairness seed list and is therefore classified as 'other'."
