AA_valence	AA_arousal	choice	AC_valence	AC_arousal	EmoFDBK_valence	EmoFDBK_arousal	Output
-35	45	1	20	10	55.0	-35.0	AA_valence = -35, AA_arousal = 45, choice = 1, AC_valence = 20, AC_arousal = 10
38	12	0	42	8	4.0	-4.0	AA_valence = 38, AA_arousal = 12, choice = 0, AC_valence = 42, AC_arousal = 8
-30	40	1	20	15	50.0	-25.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 15
-35	25	1	15	10	50.0	-15.0	AA_valence = -35, AA_arousal = 25, choice = 1, AC_valence = 15, AC_arousal = 10
-20	30	1	15	10	35.0	-20.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
-20	30	1	25	5	45.0	-25.0	AA_valence = -20, AA_arousal = 30, choice = 1, AC_valence = 25, AC_arousal = 5
-35	40	1	20	10	55.0	-30.0	AA_valence = -35, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
-30	40	1	15	10	45.0	-30.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 10
-30	45	1	25	15	55.0	-30.0	AA_valence = -30, AA_arousal = 45, choice = 1, AC_valence = 25, AC_arousal = 15
-25	30	1	15	10	40.0	-20.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
-20	35	1	15	10	35.0	-25.0	AA_valence = -20, AA_arousal = 35, choice = 1, AC_valence = 15, AC_arousal = 10
-25	45	1	15	30	40.0	-15.0	AA_valence = -25, AA_arousal = 45, choice = 1, AC_valence = 15, AC_arousal = 30
-15	30	0	20	10	35.0	-20.0	AA_valence = -15, AA_arousal = 30, choice = 0, AC_valence = 20, AC_arousal = 10
-35	40	1	25	20	60.0	-20.0	AA_valence = -35, AA_arousal = 40, choice = 1, AC_valence = 25, AC_arousal = 20
-25	40	1	20	10	45.0	-30.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
-50	60	1	30	10	80.0	-50.0	AA_valence = -50, AA_arousal = 60, choice = 1, AC_valence = 30, AC_arousal = 10
-30	40	1	20	10	50.0	-30.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 20, AC_arousal = 10
-20	25	0	15	10	35.0	-15.0	AA_valence = -20, AA_arousal = 25, choice = 0, AC_valence = 15, AC_arousal = 10
30	10	0	35	5	5.0	-5.0	AA_valence = 30, AA_arousal = 10, choice = 0, AC_valence = 35, AC_arousal = 5
45	15	0	55	10	10.0	-5.0	AA_valence = 45, AA_arousal = 15, choice = 0, AC_valence = 55, AC_arousal = 10
-35	30	1	15	10	50.0	-20.0	AA_valence = -35, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 10
-32	28	1	15	8	47.0	-20.0	AA_valence = -32, AA_arousal = 28, choice = 1, AC_valence = 15, AC_arousal = 8
-20	25	1	15	5	35.0	-20.0	AA_valence = -20, AA_arousal = 25, choice = 1, AC_valence = 15, AC_arousal = 5
-40	50	1	10	20	50.0	-30.0	AA_valence = -40, AA_arousal = 50, choice = 1, AC_valence = 10, AC_arousal = 20
-30	40	1	25	15	55.0	-25.0	AA_valence = -30, AA_arousal = 40, choice = 1, AC_valence = 25, AC_arousal = 15
-25	30	1	15	5	40.0	-25.0	AA_valence = -25, AA_arousal = 30, choice = 1, AC_valence = 15, AC_arousal = 5
60	35	0	70	25	10.0	-10.0	AA_valence = 60, AA_arousal = 35, choice = 0, AC_valence = 70, AC_arousal = 25
-25	40	1	15	15	40.0	-25.0	AA_valence = -25, AA_arousal = 40, choice = 1, AC_valence = 15, AC_arousal = 15
